Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Jamaica,M,20.0,JAM,2016 Summer,2016,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,20-24,38.0,75.0,44.0,157.0,308.0,0,Low Probability
Japan,M,28.0,JPN,1994 Winter,1994,Nordic Combined,Nordic Combined Men's Team,Gold,25-29,247.0,307.0,357.0,911.0,1712.0,2,High Probability
Japan-1,F,23.0,JPN,2012 Summer,2012,Badminton,Badminton Women's Doubles,Silver,20-24,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Jest,M,29.0,NZL,1956 Summer,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Jo,M,40.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Gold,40-44,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Jordan,M,20.0,JOR,2016 Summer,2016,Taekwondo,Taekwondo Men's Featherweight,Gold,20-24,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Joy,M,18.0,GBR,1932 Summer,1932,Sailing,Sailing Mixed Two Person Keelboat,Silver,15-19,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Jupiter,M,30.0,USA,1932 Summer,1932,Sailing,Sailing Mixed Two Person Keelboat,Gold,30-34,2.0,0.0,0.0,2.0,6.0,0,Low Probability
K Division Metropolitan Police Team-3,M,38.0,GBR,1908 Summer,1908,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze,35-39,0.0,0.0,8.0,8.0,8.0,0,Low Probability
Kathleen,M,36.0,USA,1956 Summer,1956,Sailing,Sailing Mixed Two Person Keelboat,Gold,35-39,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Kazakhstan,M,21.0,KAZ,2004 Summer,2004,Boxing,Boxing Men's Welterweight,Gold,20-24,20.0,25.0,32.0,77.0,142.0,0,Low Probability
Kenya,M,22.0,KEN,1968 Summer,1968,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,20-24,34.0,41.0,31.0,106.0,215.0,0,Low Probability
Kerstin-1,M,19.0,SWE,1912 Summer,1912,Sailing,Sailing Mixed 6 metres,Bronze,15-19,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Kitty-1,M,29.0,SWE,1912 Summer,1912,Sailing,Sailing Mixed 10 metres,Gold,25-29,8.0,0.0,0.0,8.0,24.0,0,Low Probability
Kosovo,F,25.0,KOS,2016 Summer,2016,Judo,Judo Women's Half-Lightweight,Gold,25-29,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Kristiania Roklub-1,M,23.0,NOR,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze,20-24,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Kullan,M,22.0,SWE,1920 Summer,1920,Sailing,Sailing Mixed 30 metres,Gold,20-24,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Kurush II,M,44.0,CUB,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Silver,40-44,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Kuwait,M,33.0,KUW,2000 Summer,2000,Shooting,Shooting Men's Double Trap,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Kyrgyzstan,M,24.0,KGZ,2008 Summer,2008,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,20-24,0.0,1.0,2.0,3.0,4.0,0,Low Probability
L'Aile VI,M,46.0,FRA,1928 Summer,1928,Sailing,Sailing Mixed 8 metres,Gold,45-49,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Lady C,M,33.0,GBR,1964 Summer,1964,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,30-34,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Lalage,M,27.0,GBR,1936 Summer,1936,Sailing,Sailing Mixed 6 metres,Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
"Large boat, Central Naval Prep School ""Poros""-1",M,25.556898357297374,GRE,1906 Summer,1906,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold,25-29,17.0,0.0,0.0,17.0,51.0,0,Low Probability
Latvia,M,28.0,LAT,1936 Summer,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,25-29,3.0,13.0,9.0,25.0,44.0,0,Low Probability
Latvia-1,M,29.0,LAT,2014 Winter,2014,Bobsleigh,Bobsleigh Men's Four,Silver,25-29,0.0,6.0,4.0,10.0,16.0,0,Low Probability
Laurea-1,M,50.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed 10-20 Ton,Bronze,50-54,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Leander Club #1-1,M,22.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxless Pairs,Gold,20-24,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Leander Club #2-2,M,19.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxless Pairs,Silver,15-19,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Leander Club-1,M,22.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxed Eights,Gold,20-24,18.0,0.0,0.0,18.0,54.0,0,Low Probability
Leander Club-2,M,22.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Silver,20-24,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Lebanon,M,35.0,LIB,1980 Summer,1980,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,35-39,0.0,2.0,2.0,4.0,6.0,0,Low Probability
Lerina,M,29.0,SUI,1900 Summer,1900,Sailing,Sailing Mixed 1-2 Ton,Gold,25-29,3.0,3.0,0.0,6.0,15.0,0,Low Probability
Libellule de Paris,M,27.0,GBR,1900 Summer,1900,Water Polo,Water Polo Men's Water Polo,Bronze,25-29,0.0,0.0,7.0,7.0,7.0,0,Low Probability
Liechtenstein,M,30.0,LIE,1988 Winter,1988,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze,30-34,2.0,2.0,5.0,9.0,15.0,0,Low Probability
"Life boat naval ship ""Spetsai""-1",M,25.556898357297374,GRE,1906 Summer,1906,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Silver,25-29,0.0,7.0,0.0,7.0,14.0,0,Low Probability
Lithuania,M,26.0,LTU,2000 Summer,2000,Basketball,Basketball Men's Basketball,Bronze,25-29,6.0,7.0,48.0,61.0,80.0,0,Low Probability
Liverpool Police Team-2,M,36.0,GBR,1908 Summer,1908,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,35-39,0.0,8.0,0.0,8.0,16.0,0,Low Probability
Llanoria,M,59.0,USA,1952 Summer,1952,Sailing,Sailing Mixed 6 metres,Gold,55-59,11.0,0.0,0.0,11.0,33.0,0,Low Probability
London City Police-1,M,30.0,GBR,1908 Summer,1908,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,30-34,8.0,0.0,0.0,8.0,24.0,0,Low Probability
Lucky Girl-1,M,26.0,FIN,1912 Summer,1912,Sailing,Sailing Mixed 8 metres,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Ludwigshafener Ruder Verein-1,M,24.0,GER,1900 Summer,1900,Rowing,Rowing Men's Coxed Fours,Bronze,20-24,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Ludwigshafener Ruderverein,M,21.0,GER,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Gold,20-24,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Lully II,M,18.0,NOR,1936 Summer,1936,Sailing,Sailing Mixed 6 metres,Silver,15-19,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Luxembourg,M,26.0,LUX,1920 Summer,1920,Weightlifting,Weightlifting Men's Heavyweight,Silver,25-29,4.0,4.0,0.0,8.0,20.0,0,Low Probability
Lyn-2,M,36.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 8 metres,Silver,35-39,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Ma'Lindo,M,25.0,POR,1960 Summer,1960,Sailing,Sailing Mixed Two Person Keelboat,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Mac Miche,M,27.0,FRA,1912 Summer,1912,Sailing,Sailing Mixed 6 metres,Gold,25-29,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Macedonia,M,26.0,MKD,2000 Summer,2000,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Macky VI,M,21.0,GER,1960 Summer,1960,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,20-24,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Magda IX,M,40.0,NOR,1912 Summer,1912,Sailing,Sailing Mixed 12 metres,Gold,40-44,10.0,0.0,0.0,10.0,30.0,0,Low Probability
Magdalen College Boat Club-1,M,22.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Malaysia,M,28.0,MAS,2016 Summer,2016,Cycling,Cycling Men's Keirin,Bronze,25-29,0.0,9.0,3.0,12.0,21.0,0,Low Probability
Malaysia-1,M,28.0,MAS,1996 Summer,1996,Badminton,Badminton Men's Doubles,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Malaysia-2,M,24.0,MAS,1992 Summer,1992,Badminton,Badminton Men's Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Margaret,M,44.0,USA,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Bronze,40-44,0.0,0.0,2.0,2.0,2.0,0,Low Probability
"Marinai della nave da guerra ""Varese""",M,25.556898357297374,ITA,1906 Summer,1906,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,25-29,7.0,0.0,17.0,24.0,38.0,0,Low Probability
Marmi II-1,M,31.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Silver,30-34,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Martha-1,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 1-2 Ton,Silver,25-29,0.0,4.0,4.0,8.0,12.0,0,Low Probability
Mascotte,M,39.0,NED,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Silver,35-39,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Mauritius,M,30.0,MRI,2008 Summer,2008,Boxing,Boxing Men's Bantamweight,Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
May Be,M,23.0,SWE,1936 Summer,1936,Sailing,Sailing Mixed 6 metres,Bronze,20-24,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Merope,M,40.0,ITA,1952 Summer,1952,Sailing,Sailing Mixed Two Person Keelboat,Gold,40-44,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Merope III,M,44.0,ITA,1956 Summer,1956,Sailing,Sailing Mixed Two Person Keelboat,Silver,40-44,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Mexico,M,19.0,MEX,1984 Summer,1984,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,15-19,30.0,26.0,51.0,107.0,193.0,0,Low Probability
Mignon-3,M,49.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 2-3 Ton,Bronze,45-49,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Milwaukee Athletic Club-1,M,25.556898357297374,USA,1904 Summer,1904,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Minerva Amsterdam,M,25.0,NED,1900 Summer,1900,Rowing,Rowing Men's Coxed Pairs,Gold,25-29,3.0,5.0,9.0,17.0,28.0,0,Low Probability
Minotaur,M,24.0,USA,1960 Summer,1960,Sailing,Sailing Mixed 5.5 metres,Gold,20-24,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Missouri Athletic Club-3,M,23.0,USA,1904 Summer,1904,Water Polo,Water Polo Men's Water Polo,Bronze,20-24,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Mohawk Indians-2,M,25.556898357297374,CAN,1904 Summer,1904,Lacrosse,Lacrosse Men's Lacrosse,Bronze,25-29,0.0,0.0,12.0,12.0,12.0,0,Low Probability
Moldova,M,23.0,MDA,2012 Summer,2012,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,20-24,0.0,3.0,5.0,8.0,11.0,0,Low Probability
Monaco,M,29.0,MON,1924 Summer,1924,Art Competitions,Art Competitions Mixed Architecture,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Mongolia,M,23.0,MGL,1968 Summer,1968,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,20-24,2.0,10.0,14.0,26.0,40.0,0,Low Probability
Montenegro,F,25.0,MNE,2012 Summer,2012,Handball,Handball Women's Handball,Silver,25-29,0.0,14.0,0.0,14.0,28.0,0,Low Probability
Morocco,M,29.0,MAR,1988 Summer,1988,Boxing,Boxing Men's Featherweight,Bronze,25-29,6.0,5.0,12.0,23.0,40.0,0,Low Probability
Moseley Wanderers,M,23.0,GBR,1900 Summer,1900,Rugby,Rugby Men's Rugby,Silver,20-24,0.0,15.0,0.0,15.0,30.0,0,Low Probability
Mosk II,M,41.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 10 metres,Gold,40-44,7.0,0.0,0.0,7.0,21.0,0,Low Probability
Mouchette-2,M,37.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 12 metres,Silver,35-39,0.0,10.0,0.0,10.0,20.0,0,Low Probability
Mound City Rowing Club-2,M,16.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Fours,Silver,15-19,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Mozambique,F,23.0,MOZ,1996 Summer,1996,Athletics,Athletics Women's 800 metres,Bronze,20-24,1.0,0.0,1.0,2.0,4.0,0,Low Probability
Mutafo,M,30.0,GER,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Silver,30-34,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Nadine,M,34.0,NED,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,30-34,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Namibia,M,24.0,NAM,1992 Summer,1992,Athletics,Athletics Men's 100 metres,Silver,20-24,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Namoussa,M,44.0,FRA,1924 Summer,1924,Sailing,Sailing Mixed 8 metres,Bronze,40-44,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Nepal,M,25.556898357297374,NEP,1924 Winter,1924,Alpinism,Alpinism Mixed Alpinism,Gold,25-29,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Netherlands,F,22.0,NED,1988 Summer,1988,Hockey,Hockey Women's Hockey,Bronze,20-24,277.0,321.0,390.0,988.0,1863.0,2,High Probability
Netherlands Antilles,M,19.0,AHO,1988 Summer,1988,Sailing,Sailing Mixed Windsurfer,Silver,15-19,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Netherlands-1,M,26.0,NED,2016 Summer,2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
"New College, Oxford-2",M,23.0,GBR,1912 Summer,1912,Rowing,Rowing Men's Coxed Eights,Silver,20-24,0.0,9.0,0.0,9.0,18.0,0,Low Probability
New York Athletic Club,M,20.0,USA,1904 Summer,1904,Athletics,"Athletics Men's 4 mile, Team",Gold,20-24,5.0,0.0,0.0,5.0,15.0,0,Low Probability
New York Athletic Club #1-1,M,19.0,USA,1904 Summer,1904,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,Gold,15-19,4.0,0.0,0.0,4.0,12.0,0,Low Probability
New York Athletic Club-1,M,25.556898357297374,USA,1904 Summer,1904,Water Polo,Water Polo Men's Water Polo,Gold,25-29,7.0,0.0,0.0,7.0,21.0,0,Low Probability
"New York Turnverein, New York",M,27.0,USA,1904 Summer,1904,Gymnastics,Gymnastics Men's Team All-Around,Silver,25-29,0.0,6.0,0.0,6.0,12.0,0,Low Probability
New Zealand,M,27.0,NZL,1976 Summer,1976,Hockey,Hockey Men's Hockey,Gold,25-29,85.0,56.0,82.0,223.0,449.0,0,Low Probability
Niger,M,21.0,NIG,2016 Summer,2016,Taekwondo,Taekwondo Men's Heavyweight,Silver,20-24,0.0,1.0,1.0,2.0,3.0,0,Low Probability
Nigeria,M,22.0,NGR,2008 Summer,2008,Football,Football Men's Football,Silver,20-24,23.0,30.0,46.0,99.0,175.0,0,Low Probability
Nina,M,38.0,FIN,1912 Summer,1912,Sailing,Sailing Mixed 10 metres,Silver,35-39,0.0,7.0,0.0,7.0,14.0,0,Low Probability
Nina Claire-2,M,28.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 1-2 Ton,Bronze,25-29,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Nirefs,M,28.0,GRE,1960 Summer,1960,Sailing,Sailing Mixed Three Person Keelboat,Gold,25-29,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Norna,M,24.0,NOR,1928 Summer,1928,Sailing,Sailing Mixed 6 metres,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
North Korea,F,28.0,PRK,2008 Summer,2008,Judo,Judo Women's Half-Lightweight,Silver,25-29,16.0,16.0,33.0,65.0,113.0,0,Low Probability
North Korea-1,F,23.0,PRK,1992 Summer,1992,Table Tennis,Table Tennis Women's Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Norway,M,20.0,NOR,1992 Winter,1992,Alpine Skiing,Alpine Skiing Men's Super G,Gold,20-24,299.0,330.0,281.0,910.0,1838.0,2,High Probability
Nrnberg,M,22.0,NED,1936 Summer,1936,Sailing,Sailing Mixed One Person Dinghy,Gold,20-24,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Nurdug II,M,23.0,DEN,1912 Summer,1912,Sailing,Sailing Mixed 6 metres,Silver,20-24,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Nykjbings paa Falster,M,30.0,DEN,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold,30-34,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Olle,M,31.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 2-3 Ton,Gold,30-34,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Omas Helliniki P. S.,M,25.556898357297374,GRE,1906 Summer,1906,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,25-29,0.0,8.0,0.0,8.0,16.0,0,Low Probability
Oranje,M,19.0,NED,1920 Summer,1920,Sailing,Sailing Mixed 6.5 metres,Gold,15-19,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Ormsund Roklub-2,M,29.0,NOR,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
"Osborne Swimming Club, Manchester",M,25.556898357297374,GBR,1900 Summer,1900,Water Polo,Water Polo Men's Water Polo,Gold,25-29,7.0,0.0,0.0,7.0,21.0,0,Low Probability
Pakistan,M,38.0,PAK,1960 Summer,1960,Hockey,Hockey Men's Hockey,Gold,35-39,42.0,45.0,34.0,121.0,250.0,0,Low Probability
Pan,M,21.0,NOR,1948 Summer,1948,Sailing,Sailing Mixed Three Person Keelboat,Gold,20-24,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Panama,M,26.0,PAN,1948 Summer,1948,Athletics,Athletics Men's 100 metres,Bronze,25-29,1.0,0.0,2.0,3.0,5.0,0,Low Probability
Pandora,M,34.0,NZL,1964 Summer,1964,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,30-34,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Paraguay,M,22.0,PAR,2004 Summer,2004,Football,Football Men's Football,Silver,20-24,0.0,17.0,0.0,17.0,34.0,0,Low Probability
Peru,M,19.0,PER,1984 Summer,1984,Shooting,Shooting Mixed Trap,Silver,15-19,1.0,14.0,0.0,15.0,31.0,0,Low Probability
"Phalainis ton Thorichtou ""Hydra""-2",M,25.556898357297374,GRE,1906 Summer,1906,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Silver,25-29,0.0,17.0,7.0,24.0,41.0,0,Low Probability
"Philadelphia Turngemeinde, Philadelphia",M,24.0,USA,1904 Summer,1904,Gymnastics,Gymnastics Men's Team All-Around,Gold,20-24,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Philippines,F,25.0,PHI,2016 Summer,2016,Weightlifting,Weightlifting Women's Featherweight,Silver,25-29,0.0,3.0,7.0,10.0,13.0,0,Low Probability
Pistoja/Firenze,M,19.0,ITA,1906 Summer,1906,Gymnastics,Gymnastics Men's Team All-Around,Bronze,15-19,0.0,0.0,9.0,9.0,9.0,0,Low Probability
Poland,M,23.0,POL,1980 Summer,1980,Boxing,Boxing Men's Lightweight,Bronze,20-24,117.0,193.0,253.0,563.0,990.0,0,Low Probability
Poland-1,M,27.0,POL,2000 Summer,2000,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Polyteknisk Roklub-1,M,22.0,DEN,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze,20-24,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Portugal,M,24.0,POR,1996 Summer,1996,Sailing,Sailing Men's Two Person Dinghy,Bronze,20-24,4.0,7.0,24.0,35.0,50.0,0,Low Probability
Potomac Archers,M,48.0,USA,1904 Summer,1904,Archery,Archery Men's Team Round,Gold,45-49,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Potsdam,M,26.0,GBR,1936 Summer,1936,Sailing,Sailing Mixed One Person Dinghy,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Puerto Rico,M,21.0,PUR,1992 Summer,1992,Boxing,Boxing Men's Welterweight,Bronze,20-24,1.0,2.0,6.0,9.0,13.0,0,Low Probability
Pupilles de Neptune de Lille #2-1,M,25.556898357297374,FRA,1900 Summer,1900,Water Polo,Water Polo Men's Water Polo,Bronze,25-29,0.0,0.0,8.0,8.0,8.0,0,Low Probability
Pupilles de Neptune de Lille-1,M,20.0,FRA,1900 Summer,1900,Swimming,Swimming Men's 200 metres Team Swimming,Bronze,20-24,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Qatar,M,41.0,QAT,2012 Summer,2012,Shooting,Shooting Men's Skeet,Bronze,40-44,0.0,1.0,4.0,5.0,6.0,0,Low Probability
Quand-Mme-2,M,23.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0-0.5 Ton,Silver,20-24,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Racing Club de France,M,25.556898357297374,FRA,1900 Summer,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,25-29,0.0,11.0,0.0,11.0,22.0,0,Low Probability
Ralia,M,43.0,FIN,1952 Summer,1952,Sailing,Sailing Mixed 6 metres,Bronze,40-44,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Ravenswood Boat Club-2,M,25.556898357297374,USA,1904 Summer,1904,Rowing,Rowing Men's Double Sculls,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Roddklubben af 1912-1,M,25.0,SWE,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Roehampton-1,M,39.0,GBR,1908 Summer,1908,Polo,Polo Men's Polo,Gold,35-39,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Romania,F,16.0,ROU,2008 Summer,2008,Gymnastics,Gymnastics Women's Team All-Around,Bronze,15-19,161.0,200.0,290.0,651.0,1173.0,0,Low Probability
Romania-1,M,26.0,ROU,1968 Winter,1968,Bobsleigh,Bobsleigh Men's Two,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Rose Pompon,M,35.0,FRA,1920 Summer,1920,Sailing,Sailing Mixed 6.5 metres,Silver,35-39,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Rostock,M,35.0,GER,1936 Summer,1936,Sailing,Sailing Mixed One Person Dinghy,Silver,35-39,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Rowing Club Castillon-3,M,36.0,FRA,1900 Summer,1900,Rowing,Rowing Men's Coxed Pairs,Bronze,35-39,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Royal Club Nautique de Gand,M,27.0,BEL,1900 Summer,1900,Rowing,Rowing Men's Coxed Eights,Silver,25-29,0.0,21.0,0.0,21.0,42.0,0,Low Probability
Rush V,M,50.0,SWE,1956 Summer,1956,Sailing,Sailing Mixed 5.5 metres,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Rush VII,M,28.0,SWE,1964 Summer,1964,Sailing,Sailing Mixed 5.5 metres,Silver,25-29,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Russia,F,22.0,RUS,2008 Summer,2008,Athletics,Athletics Women's Javelin Throw,Silver,20-24,366.0,351.0,393.0,1110.0,2193.0,2,High Probability
Russia-1,M,28.0,RUS,2002 Winter,2002,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,25-29,22.0,6.0,8.0,36.0,86.0,0,Low Probability
Russia-2,F,20.0,RUS,1998 Winter,1998,Figure Skating,Figure Skating Mixed Pairs,Silver,20-24,2.0,10.0,0.0,12.0,26.0,0,Low Probability
Salinero,F,40.0,NED,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,40-44,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Sans Atout-1,M,28.0,SWE,1912 Summer,1912,Sailing,Sailing Mixed 8 metres,Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Santa Maria,M,46.0,CAN,1932 Summer,1932,Sailing,Sailing Mixed 8 metres,Silver,45-49,0.0,6.0,0.0,6.0,12.0,0,Low Probability
Sarcelle-3,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0-0.5 Ton,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Satchmo,F,39.0,GER,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,35-39,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Saudi Arabia,M,40.0,KSA,2012 Summer,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,40-44,0.0,1.0,5.0,6.0,7.0,0,Low Probability
Scamasaxe-2,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Scamasaxe-3,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Scotia,M,29.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed Open,Gold,25-29,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Scotland-3,M,24.0,GBR,1908 Summer,1908,Hockey,Hockey Men's Hockey,Bronze,20-24,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Seawanhaka Boat Club-1,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Pairs,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
