Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Cuba,M,23.0,CUB,2008 Summer,2008,Boxing,Boxing Men's Heavyweight,Bronze,20-24,164.0,127.0,116.0,407.0,862.0,0,Low Probability
Cyprus,M,22.0,CYP,2012 Summer,2012,Sailing,Sailing Men's One Person Dinghy,Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Czech Republic,M,19.0,CZE,2004 Summer,2004,Athletics,Athletics Men's High Jump,Bronze,15-19,42.0,32.0,60.0,134.0,250.0,0,Low Probability
Czech Republic-1,F,25.0,CZE,2012 Summer,2012,Tennis,Tennis Women's Doubles,Silver,25-29,0.0,4.0,6.0,10.0,14.0,0,Low Probability
Czechoslovakia,M,25.0,TCH,1976 Summer,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,25-29,81.0,223.0,182.0,486.0,871.0,0,Low Probability
Czechoslovakia-1,M,27.0,TCH,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Denmark,M,30.0,DEN,1920 Summer,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,30-34,168.0,223.0,162.0,553.0,1112.0,0,Low Probability
Denmark-1,M,33.0,DEN,2012 Summer,2012,Badminton,Badminton Mixed Doubles,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Denmark-2,M,34.0,DEN,2004 Summer,2004,Badminton,Badminton Mixed Doubles,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Denmark/Sweden,M,34.0,DEN,1900 Summer,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,30-34,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Deutscher Schwimm Verband Berlin,M,18.0,GER,1900 Summer,1900,Swimming,Swimming Men's 200 metres Team Swimming,Gold,15-19,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Devon and Somerset Wanderers,M,25.556898357297374,GBR,1900 Summer,1900,Cricket,Cricket Men's Cricket,Gold,25-29,12.0,0.0,0.0,12.0,36.0,0,Low Probability
Digby,F,33.0,DEN,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Djibouti,M,31.0,DJI,1988 Summer,1988,Athletics,Athletics Men's Marathon,Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Djinn,M,33.0,ARG,1948 Summer,1948,Sailing,Sailing Mixed 6 metres,Silver,30-34,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Dominican Republic,M,24.0,DOM,2008 Summer,2008,Boxing,Boxing Men's Light-Welterweight,Gold,20-24,3.0,2.0,2.0,7.0,15.0,0,Low Probability
Don Schufro,M,30.0,DEN,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Dormy-1,M,35.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 6 metres,Gold,35-39,3.0,0.0,0.0,3.0,9.0,0,Low Probability
East Germany,F,19.0,GDR,1972 Summer,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver,15-19,369.0,309.0,263.0,941.0,1988.0,2,High Probability
East Germany-1,M,23.0,GDR,1972 Summer,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,20-24,24.0,10.0,8.0,42.0,100.0,0,Low Probability
East Germany-2,M,20.0,GDR,1988 Winter,1988,Luge,Luge Mixed (Men)'s Doubles,Silver,20-24,4.0,8.0,10.0,22.0,38.0,0,Low Probability
Ecuador,M,22.0,ECU,1996 Summer,1996,Athletics,Athletics Men's 20 kilometres Walk,Gold,20-24,1.0,1.0,0.0,2.0,5.0,0,Low Probability
Edelweiss II-1,M,31.0,BEL,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Gold,30-34,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Egypt,M,21.0,EGY,2012 Summer,2012,Fencing,"Fencing Men's Foil, Individual",Silver,20-24,7.0,8.0,12.0,27.0,49.0,0,Low Probability
Eleda,M,27.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 10 metres,Gold,25-29,7.0,0.0,0.0,7.0,21.0,0,Low Probability
Elisabeth V,M,25.0,NOR,1924 Summer,1924,Sailing,Sailing Mixed 6 metres,Gold,25-29,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Elisabeth X,M,23.0,NOR,1952 Summer,1952,Sailing,Sailing Mixed 6 metres,Silver,20-24,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Elsie,M,31.0,SWE,1920 Summer,1920,Sailing,Sailing Mixed 40 metres,Silver,30-34,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Elvis Va,F,43.0,GER,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,40-44,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Emily,M,25.0,GBR,1924 Summer,1924,Sailing,Sailing Mixed 8 metres,Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Encore,M,32.0,NOR,1952 Summer,1952,Sailing,Sailing Mixed 5.5 metres,Silver,30-34,0.0,3.0,0.0,3.0,6.0,0,Low Probability
England,M,24.0,GBR,1912 Summer,1912,Cycling,"Cycling Men's Road Race, Individual",Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
England-1,M,26.0,GBR,1908 Summer,1908,Hockey,Hockey Men's Hockey,Gold,25-29,11.0,12.0,0.0,23.0,57.0,0,Low Probability
Eritrea,M,22.0,ERI,2004 Summer,2004,Athletics,"Athletics Men's 10,000 metres",Bronze,20-24,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Erna Signe,M,25.0,SWE,1912 Summer,1912,Sailing,Sailing Mixed 12 metres,Silver,25-29,0.0,10.0,0.0,10.0,20.0,0,Low Probability
Espadarte,M,28.0,POR,1952 Summer,1952,Sailing,Sailing Mixed Two Person Keelboat,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Esterel-1,M,48.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 10-20 Ton,Gold,45-49,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Estonia,M,24.0,EST,2000 Summer,2000,Judo,Judo Men's Half-Middleweight,Bronze,20-24,13.0,12.0,20.0,45.0,83.0,0,Low Probability
Ethiopia,M,21.0,ETH,1992 Summer,1992,Athletics,"Athletics Men's 10,000 metres",Bronze,20-24,22.0,9.0,22.0,53.0,106.0,0,Low Probability
Ethnikos Gymnastikos Syllogos,M,25.556898357297374,GRE,1896 Summer,1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Falcon IV,M,25.556898357297374,AUS,1956 Summer,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Fantlet-7,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0-0.5 Ton,Gold,25-29,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Favorite Hammonia-3,M,21.0,GER,1900 Summer,1900,Rowing,Rowing Men's Coxed Fours,Bronze,20-24,0.0,0.0,6.0,6.0,6.0,0,Low Probability
Favorite-1,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 2-3 Ton,Silver,25-29,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Femur-1,M,24.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Gold,20-24,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Fiji,M,22.0,FIJ,2016 Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold,20-24,13.0,0.0,0.0,13.0,39.0,0,Low Probability
Finland,M,30.0,FIN,1920 Summer,1920,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,30-34,198.0,263.0,415.0,876.0,1535.0,2,High Probability
Formosa,M,29.0,USA,1900 Summer,1900,Sailing,Sailing Mixed 20+ Ton,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Fornebo,M,20.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 7 metres,Silver,20-24,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Foxhunters Hurlingham,M,33.0,GBR,1900 Summer,1900,Polo,Polo Men's Polo,Gold,30-34,5.0,0.0,0.0,5.0,15.0,0,Low Probability
France,M,21.0,FRA,1956 Summer,1956,Cycling,"Cycling Men's Road Race, Team",Gold,20-24,455.0,518.0,577.0,1550.0,2978.0,2,High Probability
France-1,M,23.0,FRA,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,20-24,4.0,7.0,11.0,22.0,37.0,0,Low Probability
France-2,M,30.0,FRA,2012 Summer,2012,Tennis,Tennis Men's Doubles,Bronze,30-34,0.0,0.0,4.0,4.0,4.0,0,Low Probability
France-3,M,26.0,FRA,1920 Summer,1920,Tennis,Tennis Men's Doubles,Bronze,25-29,2.0,0.0,2.0,4.0,8.0,0,Low Probability
France/Great Britain,M,33.0,GBR,1900 Summer,1900,Tennis,Tennis Mixed Doubles,Silver,30-34,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Frankfurt Club,M,29.0,GER,1900 Summer,1900,Rugby,Rugby Men's Rugby,Silver,25-29,0.0,15.0,0.0,15.0,30.0,0,Low Probability
Frimousse,M,25.556898357297374,USA,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Gabon,M,23.0,GAB,2012 Summer,2012,Taekwondo,Taekwondo Men's Heavyweight,Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Gallant,M,36.0,USA,1932 Summer,1932,Sailing,Sailing Mixed 6 metres,Silver,35-39,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Gallia II,M,41.0,RUS,1912 Summer,1912,Sailing,Sailing Mixed 10 metres,Bronze,40-44,0.0,0.0,7.0,7.0,7.0,0,Low Probability
Galt Football Club,M,24.0,CAN,1904 Summer,1904,Football,Football Men's Football,Gold,20-24,13.0,0.0,0.0,13.0,39.0,0,Low Probability
Gem,M,41.0,BAH,1964 Summer,1964,Sailing,Sailing Mixed Two Person Keelboat,Gold,40-44,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Gem IV,M,33.0,BAH,1956 Summer,1956,Sailing,Sailing Mixed Two Person Keelboat,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Georgia,M,25.0,GEO,2000 Summer,2000,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,25-29,8.0,6.0,18.0,32.0,54.0,0,Low Probability
Germania II,M,30.0,GER,1936 Summer,1936,Sailing,Sailing Mixed 8 metres,Bronze,30-34,0.0,0.0,6.0,6.0,6.0,0,Low Probability
